"Recip_County","Recip_State","Month","Year","Total","Lat","Long","Cases"
"Charlevoix County","MI",12,2020,0,45.618554,-85.543684,24075
"Charlotte County","FL",12,2020,0,26.906396,-82.003657,193732
"Charlotte County","VA",12,2020,0,37.009042,-78.658568,9961
"Charlton County","GA",12,2020,0,30.779904,-82.139644,28344
"Chase County","NE",12,2020,0,40.53039,-101.694192,9531
"Chatham County","GA",12,2020,0,31.980404,-81.085184,378544
"Chatham County","NC",12,2020,0,35.704994,-79.251454,81559
"Chattahoochee County","GA",12,2020,0,32.347445,-84.788021,66201
"Chattooga County","GA",12,2020,0,34.474178,-85.345289,47229
"Chautauqua County","NY",12,2020,0,42.304216,-79.407595,77670
"Chaves County","NM",12,2020,0,33.361604,-104.469837,192255
"Cheatham County","TN",12,2020,0,36.255169,-87.100808,69652
"Cheboygan County","MI",12,2020,0,45.476022,-84.495431,20250
"Chelan County","WA",12,2020,0,47.860974,-120.619041,138235
"Chemung County","NY",12,2020,0,42.148697,-76.752471,119361
"Chenango County","NY",12,2020,0,42.478024,-75.602241,28143
"Cherokee County","AL",12,2020,0,34.069515,-85.654242,38180
"Cherokee County","GA",12,2020,0,34.244317,-84.475057,416191
"Cherokee County","IA",12,2020,0,42.742737,-95.633262,34190
"Cherokee County","NC",12,2020,0,35.13715,-84.061449,33938
"Cherokee County","OK",12,2020,0,35.904367,-94.996796,93415
"Cherokee County","SC",12,2020,0,35.049796,-81.607647,80660
"Cherokee County","TX",12,2020,0,31.843881,-95.156343,78014
"Cherry County","NE",12,2020,0,42.571323,-101.047653,7106
"Cheshire County","NH",12,2020,0,42.92546,-72.248183,29370
"Chester County","PA",12,2020,0,39.974029,-75.749751,514725
"Chester County","SC",12,2020,0,34.689342,-81.161249,59331
"Chester County","TN",12,2020,0,35.420253,-88.611353,39007
"Chesterfield County","SC",12,2020,0,34.637018,-80.159227,63243
"Chesterfield County","VA",12,2020,0,37.378434,-77.585847,346013
"Cheyenne County","CO",12,2020,0,38.835646,-102.601791,2546
"Cheyenne County","NE",12,2020,0,41.214236,-103.011929,20353
"Chickasaw County","IA",12,2020,0,43.059741,-92.31721,30159
"Chickasaw County","MS",12,2020,0,33.933277,-88.947558,41593
