"longitude","latitude","cluster"
-92.671044,46.603818,2
-77.353736,38.028033,6
-93.540972,36.33737,3
-85.080527,33.582237,7
-94.86765,42.039502,2
-89.924189,42.0709,2
-86.565141,40.58498,2
-93.500227,39.427375,2
-89.918887,33.440795,7
-71.20156,43.867774,6
-81.090787,40.579884,6
-88.452379,35.965748,7
-80.727831,36.731963,7
-101.355356,35.405496,3
-90.945705,36.944858,2
-104.515324,45.516825,1
-97.287927,34.251848,3
-82.126593,36.284744,7
-76.53586,34.858343,7
-93.800091,44.82132,2
-111.350262,47.316575,1
-94.933302,41.333824,2
-90.245704,39.969202,2
-86.355168,40.753799,2
-86.000142,41.917243,2
-94.333705,46.951745,2
-94.354547,38.646474,2
-97.252375,46.927003,2
-96.140609,40.909878,2
-94.357579,33.083698,3
-113.626328,42.282313,1
-102.258786,34.533621,3
-79.339609,36.394298,7
-81.214906,35.661883,7
-85.139385,34.900212,7
-108.391928,33.901621,4
-78.662332,42.239099,6
-98.46379,48.768439,2
-76.574587,43.008546,6
-91.132611,41.77236,2
-93.850014,37.733655,2
-97.25687,42.60456,2
-77.847667,40.909322,6
-93.250965,43.074975,2
-106.300025,38.734599,1
-85.394032,32.915504,7
-94.669445,29.696374,3
-88.196975,40.138985,2
-83.767604,40.132775,2
-92.96162,39.517968,2
-77.05417,37.361054,6
-98.595143,43.206185,2
-79.94248,32.800458,7
-85.543684,45.618554,2
-82.003657,26.906396,5
-78.658568,37.009042,6
-82.139644,30.779904,5
-101.694192,40.53039,3
-81.085184,31.980404,7
-79.251454,35.704994,7
-84.788021,32.347445,7
-85.345289,34.474178,7
-79.407595,42.304216,6
-104.469837,33.361604,3
-87.100808,36.255169,7
-84.495431,45.476022,2
-120.619041,47.860974,1
-76.752471,42.148697,6
-75.602241,42.478024,6
-85.654242,34.069515,7
-84.475057,34.244317,7
-95.633262,42.742737,2
-84.061449,35.13715,7
-94.996796,35.904367,3
-81.607647,35.049796,7
-95.156343,31.843881,3
-101.047653,42.571323,1
-72.248183,42.92546,6
-75.749751,39.974029,6
-81.161249,34.689342,7
-88.611353,35.420253,7
-80.159227,34.637018,7
-77.585847,37.378434,6
-102.601791,38.835646,3
-103.011929,41.214236,1
-92.31721,43.059741,2
-88.947558,33.933277,7
-91.297158,33.267139,3
-100.208166,34.524624,3
-86.726607,32.854051,7
-84.52063,46.321819,2
-95.564108,45.028625,2
-91.283505,45.069092,2
-92.903849,45.505444,2
-73.06941,44.463329,6
-88.248889,31.990954,7
-89.251332,33.345964,7
-95.554079,34.027699,3
-110.4362,47.886834,1
-76.602752,36.128979,6
-89.279593,39.545524,2
-93.187614,36.969739,3
-118.264166,39.53771,4
-107.99268,34.928272,4
-102.517698,36.74839,3
-82.595552,28.850292,5
-122.195127,45.160493,1
-90.915424,31.97281,3
-83.660698,36.501572,7
-123.88986,48.110903,1
-84.838325,43.991137,2
-80.217889,33.664682,7
-79.420369,41.198159,6
-93.176208,34.053316,3
-112.354613,44.290218,1
-87.791683,39.332334,2
-85.711122,38.476217,2
-91.729472,40.407275,2
-115.014398,36.21413,4
-83.783676,39.917032,2
-97.724912,44.855211,2
-122.485953,45.77173,1
-90.609953,44.739346,2
-87.818624,31.685521,7
-83.367152,33.952185,7
-93.785259,41.029726,2
-88.687976,32.045374,7
-77.990748,39.115307,6
-123.705037,46.024509,1
-85.863525,33.2704,7
-90.418704,36.367302,2
-81.865036,29.986584,5
-84.992583,31.619831,7
-95.149875,43.081224,2
-88.482325,38.746819,2
-87.115858,39.393928,2
-96.494901,46.898377,2
-94.421502,39.315551,2
-88.782468,33.65967,7
-83.752264,35.052997,7
-98.050858,40.523669,2
-96.980468,42.91615,2
-85.545717,36.545749,7
-98.212917,33.785904,3
-81.081866,38.459826,7
-84.412868,33.551603,7
-91.323576,42.840985,2
-105.670783,39.689403,1
-78.477724,41.006862,6
-115.6535,46.67257,1
-95.371117,47.575873,2
-85.516126,33.671964,7
-92.05995,35.566315,3
-84.149485,39.052054,2
-92.188714,33.893201,3
-81.557114,35.33463,7
-97.323088,35.206376,3
-82.702614,30.917653,5
-90.534243,41.898073,2
-89.426228,38.606295,2
-86.477567,40.305944,2
-84.591695,42.950455,2
-94.395803,39.608723,2
